peek_index,side,lag_ms,r,n_overlap
5,R,203.125,-0.7797498163011786,33
5,R,210.9375,-0.8204869562871009,32
5,R,218.75,-0.8354255574272266,31
5,R,226.5625,-0.8409091218770725,30
5,R,234.375,-0.844679771894029,29
5,R,242.1875,-0.812178123706922,28
5,R,250.0,-0.7768249952683394,27
6,L,-250.0,0.8768127583530818,28
6,L,-242.1875,0.8942714467354196,29
6,L,-234.375,0.9046817070574192,30
6,L,-226.5625,0.9066079660640405,31
6,L,-218.75,0.8718359717795351,32
6,L,-210.9375,0.8820806473884356,33
6,L,-203.125,0.8535541049301166,34
6,L,-195.3125,0.8571104719011111,35
6,L,-187.5,0.8473364460718149,36
6,L,-179.6875,0.8442633179807593,37
6,L,-171.875,0.8388936333479804,38
6,L,-164.0625,0.8332157713386131,39
6,L,-156.25,0.824713121673259,40
6,L,-148.4375,0.8195478388149765,41
6,L,-140.625,0.8192427228803951,42
6,L,-132.8125,0.8071252727658631,43
6,L,-125.0,0.7753804611934402,44
6,L,-117.1875,0.6841118427521905,45
6,L,-109.375,0.45869348476228433,46
6,L,-101.5625,0.2674474733728029,47
6,L,-93.75,0.11025571822978436,48
6,L,-85.9375,-0.044156531726286384,49
6,L,-78.125,-0.18580337651001066,50
6,L,-70.3125,-0.31563683549125615,51
6,L,-62.5,-0.42906177356068476,52
6,L,-54.6875,-0.5179000650081511,53
6,L,-46.875,-0.5988926307579377,54
6,L,-39.0625,-0.6702563957507593,55
6,L,-31.25,-0.7178782959918827,56
6,L,-23.4375,-0.7540886248267433,57
6,L,-15.625,-0.7719709243211709,58
6,L,-7.8125,-0.7652125335454596,59
6,L,0.0,-0.7626946048652352,60
6,L,7.8125,-0.7498645184633674,59
6,L,15.625,-0.7365283930715808,58
6,L,23.4375,-0.7173357504373695,57
6,L,31.25,-0.6827150727227941,56
6,L,39.0625,-0.6396893755966537,55
6,L,46.875,-0.5898781004047602,54
6,L,54.6875,-0.5331942326587801,53
6,L,62.5,-0.4714697274198206,52
6,L,70.3125,-0.40602345882367064,51
6,L,78.125,-0.3242631164095342,50
6,L,85.9375,-0.24222779771693415,49
6,L,93.75,-0.17397084846981914,48
6,L,101.5625,-0.07885726158004719,47
6,L,109.375,-0.004959811836432921,46
6,L,117.1875,0.08996912128582712,45
6,L,125.0,0.18365468315786201,44
6,L,132.8125,0.28958746658928664,43
6,L,140.625,0.39231494239450204,42
6,L,148.4375,0.447428932264464,41
6,L,156.25,0.5005881137749845,40
6,L,164.0625,0.5728657065912829,39
6,L,171.875,0.6446523873881704,38
6,L,179.6875,0.7056856878824725,37
6,L,187.5,0.7559493089926119,36
6,L,195.3125,0.806397827070831,35
6,L,203.125,0.8526614003007208,34
6,L,210.9375,0.886076533526042,33
6,L,218.75,0.9090364695727818,32
6,L,226.5625,0.9206389578525387,31
6,L,234.375,0.9112800215936915,30
6,L,242.1875,0.8890462243309613,29
6,L,250.0,0.8654680637207686,28
7,R,-250.0,-0.8554077804877983,25
7,R,-242.1875,-0.8792947479216511,26
7,R,-234.375,-0.893983968783736,27
7,R,-226.5625,-0.9142514418904203,28
7,R,-218.75,-0.9032252241887389,29
7,R,-210.9375,-0.9002491309016833,30
7,R,-203.125,-0.8927545403999939,31
7,R,-195.3125,-0.8757823900925722,32
7,R,-187.5,-0.8702199144088595,33
7,R,-179.6875,-0.8685807754666173,34
7,R,-171.875,-0.8603479191879794,35
7,R,-164.0625,-0.848461437462863,36
7,R,-156.25,-0.8294425589869643,37
7,R,-148.4375,-0.8356764636537631,38
7,R,-140.625,-0.8172589285062916,39
7,R,-132.8125,-0.7824835810541471,40
7,R,-125.0,-0.7547097025185889,41
7,R,-117.1875,-0.7093123659854238,42
7,R,-109.375,-0.6593611582488692,43
7,R,-101.5625,-0.6124133603163386,44
7,R,-93.75,-0.3600492028583716,45
7,R,-85.9375,-0.13887020531384026,46
7,R,-78.125,0.01418835250604017,47
7,R,-70.3125,0.17094445328681138,48
7,R,-62.5,0.2992169155926406,49
7,R,-54.6875,0.40634172414722186,50
7,R,-46.875,0.5076981654664708,51
7,R,-39.0625,0.6011195686107346,52
7,R,-31.25,0.6710771635534782,53
7,R,-23.4375,0.7302253445332603,54
7,R,-15.625,0.781703138042877,55
7,R,-7.8125,0.8091319663830149,56
7,R,0.0,0.824884633763685,57
7,R,7.8125,0.8373530017093423,56
7,R,15.625,0.8217178390216131,55
7,R,23.4375,0.7953573393350414,54
7,R,31.25,0.7606517365926319,53
7,R,39.0625,0.7135057999043095,52
7,R,46.875,0.6596562847715056,51
7,R,54.6875,0.5997903204010889,50
7,R,62.5,0.525456480973473,49
7,R,70.3125,0.43953290580192533,48
7,R,78.125,0.33936499286694516,47
7,R,85.9375,0.2565716883590919,46
7,R,93.75,0.15413345590093822,45
7,R,101.5625,0.037507790544532064,44
7,R,109.375,-0.07947202580793716,43
7,R,117.1875,-0.14616473993411289,42
7,R,125.0,-0.21782962650682203,41
7,R,132.8125,-0.27933960768933647,40
7,R,140.625,-0.3509557842908184,39
7,R,148.4375,-0.44699921950878513,38
7,R,156.25,-0.4897533828400702,37
7,R,164.0625,-0.5670887028540506,36
7,R,171.875,-0.6259576348180267,35
7,R,179.6875,-0.6664451229642563,34
7,R,187.5,-0.7346658731638881,33
7,R,195.3125,-0.7997068566393724,32
7,R,203.125,-0.8268569673073383,31
7,R,210.9375,-0.8550961658750381,30
7,R,218.75,-0.8932475280166406,29
7,R,226.5625,-0.8991812379795665,28
7,R,234.375,-0.9108097118723877,27
7,R,242.1875,-0.9205719499925817,26
7,R,250.0,-0.9178619083352315,25
8,L,-250.0,0.6785280929468336,26
8,L,-242.1875,0.7648899879893742,27
8,L,-234.375,0.7527355017613099,28
8,L,-226.5625,0.7925264620754358,29
8,L,-218.75,0.7557554165651746,30
8,L,-210.9375,0.785032864897749,31
8,L,-203.125,0.7969884745992668,32
8,L,-195.3125,0.7803736036008936,33
8,L,-187.5,0.7439402934570513,34
8,L,-179.6875,0.8151317448241936,35
8,L,-171.875,0.7530702251522907,36
8,L,-164.0625,0.7895465486649295,37
8,L,-156.25,0.7802503941303626,38
8,L,-148.4375,0.7825204910149183,39
8,L,-140.625,0.7845514759755134,40
8,L,-132.8125,0.7379577591047777,41
8,L,-125.0,0.7180566182486531,42
8,L,-117.1875,0.700235366491423,43
8,L,-109.375,0.6656427196555627,44
8,L,-101.5625,0.5869316725924387,45
8,L,-93.75,0.5112094985392122,46
8,L,-85.9375,0.3722610313095896,47
8,L,-78.125,0.2157981661549211,48
8,L,-70.3125,-0.01497763965676293,49
8,L,-62.5,-0.16105500257192013,50
8,L,-54.6875,-0.32058011044176,51
8,L,-46.875,-0.4300486527912854,52
8,L,-39.0625,-0.5297273225322404,53
8,L,-31.25,-0.610579109579636,54
8,L,-23.4375,-0.6757241340268019,55
8,L,-15.625,-0.7245537378364909,56
8,L,-7.8125,-0.7706980611922085,57
8,L,0.0,-0.7914365311936323,58
8,L,7.8125,-0.8227119034613466,57
8,L,15.625,-0.8190021838390082,56
8,L,23.4375,-0.8082300319516887,55
8,L,31.25,-0.7833914700842215,54
8,L,39.0625,-0.7421689541876296,53
8,L,46.875,-0.6914430312111929,52
8,L,54.6875,-0.6164371849524974,51
8,L,62.5,-0.5537398287390843,50
8,L,70.3125,-0.45787187261573375,49
8,L,78.125,-0.38556095598782647,48
8,L,85.9375,-0.29176372206323836,47
8,L,93.75,-0.20256031479472345,46
8,L,101.5625,-0.10886930677881168,45
8,L,109.375,-0.00012502701771670296,44
8,L,117.1875,0.093911696840389,43
8,L,125.0,0.16582169890660084,42
8,L,132.8125,0.21156712467991953,41
8,L,140.625,0.2820669321839016,40
8,L,148.4375,0.32371244319150233,39
8,L,156.25,0.4111707352570065,38
8,L,164.0625,0.47265096658134265,37
8,L,171.875,0.5418795979644703,36
8,L,179.6875,0.5910046134867777,35
8,L,187.5,0.6811409627269275,34
8,L,195.3125,0.7156936996116556,33
8,L,203.125,0.7696624240298243,32
8,L,210.9375,0.8136028889654979,31
8,L,218.75,0.8416833034974209,30
8,L,226.5625,0.876280461743332,29
8,L,234.375,0.9018933956219721,28
8,L,242.1875,0.9181706288873461,27
8,L,250.0,0.9357980717213884,26
9,R,-250.0,-0.8593835023758843,29
9,R,-242.1875,-0.8836871056736324,30
9,R,-234.375,-0.8956378132632185,31
9,R,-226.5625,-0.8794266660996404,32
9,R,-218.75,-0.9020787813789085,33
9,R,-210.9375,-0.9025265020481756,34
9,R,-203.125,-0.8926893412757649,35
9,R,-195.3125,-0.8993957151041432,36
9,R,-187.5,-0.8739890142047368,37
9,R,-179.6875,-0.8578018293467062,38
9,R,-171.875,-0.8487709804082945,39
9,R,-164.0625,-0.8249608516953554,40
9,R,-156.25,-0.8083375676061278,41
9,R,-148.4375,-0.7724268773364542,42
9,R,-140.625,-0.637939773334659,43
9,R,-132.8125,-0.5259891003250218,44
9,R,-125.0,-0.3963182032520934,45
9,R,-117.1875,-0.23950419669107376,46
9,R,-109.375,-0.11266090106121436,47
9,R,-101.5625,-0.009652552859288155,48
9,R,-93.75,0.1187580759784695,49
9,R,-85.9375,0.27460679424101503,50
9,R,-78.125,0.3948431835499451,51
9,R,-70.3125,0.4990964264655326,52
9,R,-62.5,0.5814353381394372,53
9,R,-54.6875,0.6573065745749207,54
9,R,-46.875,0.7175288026971595,55
9,R,-39.0625,0.7647214825686512,56
9,R,-31.25,0.7999336367261008,57
9,R,-23.4375,0.8198610570699759,58
9,R,-15.625,0.8316413547860838,59
9,R,-7.8125,0.8276636874586024,60
9,R,0.0,0.834161791057843,61
9,R,7.8125,0.8182621145550499,60
9,R,15.625,0.7930101447389075,59
9,R,23.4375,0.7661779324367012,58
9,R,31.25,0.7176811841396431,57
9,R,39.0625,0.6666726866931302,56
9,R,46.875,0.6065343951685026,55
9,R,54.6875,0.5432582949483182,54
9,R,62.5,0.47363501524882073,53
9,R,70.3125,0.3864635935622823,52
9,R,78.125,0.28789269899013004,51
9,R,85.9375,0.18362784214651162,50
9,R,93.75,0.06763530231260365,49
9,R,101.5625,-0.05865260362367917,48
9,R,109.375,-0.18422166071509521,47
9,R,117.1875,-0.24944124818021013,46
9,R,125.0,-0.3386199055698851,45
9,R,132.8125,-0.44171492472102614,44
9,R,140.625,-0.506829619701013,43
9,R,148.4375,-0.594324077343421,42
9,R,156.25,-0.6727044455954855,41
9,R,164.0625,-0.7348736454673824,40
9,R,171.875,-0.7810444097609638,39
9,R,179.6875,-0.8251361181442534,38
9,R,187.5,-0.8773677500134515,37
9,R,195.3125,-0.9132360217073406,36
9,R,203.125,-0.936246251929253,35
9,R,210.9375,-0.946113881845744,34
9,R,218.75,-0.960052500097557,33
9,R,226.5625,-0.9557358642334142,32
9,R,234.375,-0.9502259870785,31
9,R,242.1875,-0.9446540484504078,30
9,R,250.0,-0.9342838044425126,29
10,L,-250.0,0.4686704308464797,31
10,L,-242.1875,0.471694713280667,32
10,L,-234.375,0.5038874603673135,33
10,L,-226.5625,0.5197063343128987,34
10,L,-218.75,0.48497757086696414,35
10,L,-210.9375,0.512926886453059,36
10,L,-203.125,0.5099955644733489,37
10,L,-195.3125,0.5133590376831084,38
10,L,-187.5,0.5239897170971622,39
10,L,-179.6875,0.55307383320956,40
10,L,-171.875,0.5476931413063808,41
10,L,-164.0625,0.5580752084708122,42
10,L,-156.25,0.560625783798057,43
10,L,-148.4375,0.5804235209461323,44
10,L,-140.625,0.5965939880272934,45
10,L,-132.8125,0.6004746901157068,46
10,L,-125.0,0.626684820189603,47
10,L,-117.1875,0.633330924250626,48
10,L,-109.375,0.629411436510697,49
10,L,-101.5625,0.6563658429547792,50
10,L,-93.75,0.5172330376383826,51
10,L,-85.9375,0.3645371327317743,52
10,L,-78.125,0.17503652795717697,53
10,L,-70.3125,0.0035516298350053007,54
10,L,-62.5,-0.12762741358508503,55
10,L,-54.6875,-0.24784763850641933,56
